ranking;sku;estoque_atual;R(t)_rentabilidade;U(t)_nivel_urgencia;GP(t)_giro_futuro_previsto;score_elencacao
1;MK360;3.0;67.51384615384615;1.2545454545454546;90.00000000000001;0.43011990074441686
2;MK382;15.0;59.91402439024391;8.855421686746988;450.0;0.4050961953604867
3;792427;46.0;14.786315789473683;20.879432624113477;1380.0;0.37285677045124965
4;790694;12.0;18.87411311053985;1.7766990291262135;196.91022964509375;0.24261147937764557
5;3330;15.0;14.862573099415204;6.120689655172415;450.0;0.2365810430029877
6;2922;13.0;16.195263157894736;10.947368421052632;390.0;0.20689118479016924
7;792528;12.0;14.945;8.4;360.0;0.19969489361702125
8;791288;9.0;12.473571428571423;4.8;265.14608024014467;0.18116224771736356
9;7824;12.0;12.25;9.0;317.5219220443355;0.17425657661330063
10;791840;7.0;6.126756756756755;3.9729729729729732;210.0;0.14783311398354876
